Period_Group,Load_Factor,OTP15_adjusted,Mishandling,Misconex,Min_Date,Max_Date
345,82.3998667797981,92.87054409005628,,,2018-12-31T00:00:00,2019-01-03T00:00:00
344,74.17738856936316,93.77562430115543,,,2019-01-04T00:00:00,2019-01-10T00:00:00
343,73.05868975201926,96.03960396039604,,,2019-01-11T00:00:00,2019-01-17T00:00:00
342,77.82715082705295,94.9675943576058,,,2019-01-18T00:00:00,2019-01-24T00:00:00
341,79.6187387902576,93.33840883136658,,,2019-01-25T00:00:00,2019-01-31T00:00:00
340,79.01410617120956,91.93366000753863,,,2019-02-01T00:00:00,2019-02-07T00:00:00
339,81.47147381394404,95.4779411764706,,,2019-02-08T00:00:00,2019-02-14T00:00:00
338,83.99279541085835,93.20143884892086,,,2019-02-15T00:00:00,2019-02-21T00:00:00
337,85.63724283922689,95.06041222459133,,,2019-02-22T00:00:00,2019-02-28T00:00:00
336,85.90699484968259,71.07736804049168,,,2019-03-01T00:00:00,2019-03-07T00:00:00
335,84.41821510654044,88.2016446192349,,,2019-03-08T00:00:00,2019-03-14T00:00:00
334,84.16821089126665,87.43305962156373,,,2019-03-15T00:00:00,2019-03-21T00:00:00
333,85.305835481603,92.87241625089095,,,2019-03-22T00:00:00,2019-03-28T00:00:00
332,83.40337047087546,94.06077348066299,,,2019-03-29T00:00:00,2019-04-04T00:00:00
331,85.59774988984074,90.98360655737704,,,2019-04-05T00:00:00,2019-04-11T00:00:00
330,84.45728749467568,89.41740412979351,,,2019-04-12T00:00:00,2019-04-18T00:00:00
329,85.3967219114939,88.18709457152612,,,2019-04-19T00:00:00,2019-04-25T00:00:00
328,81.59964118455696,93.70434782608696,,,2019-04-26T00:00:00,2019-05-02T00:00:00
327,81.71748936351865,90.35775127768314,,,2019-05-03T00:00:00,2019-05-09T00:00:00
326,81.47502281921547,91.1516379601486,,,2019-05-10T00:00:00,2019-05-16T00:00:00
325,82.73296974657501,91.58283031522468,,,2019-05-17T00:00:00,2019-05-23T00:00:00
324,82.8551205217468,93.80384360503645,,,2019-05-24T00:00:00,2019-05-30T00:00:00
323,82.15264240849037,90.49354090758528,,,2019-05-31T00:00:00,2019-06-06T00:00:00
322,84.36972653714682,89.3046357615894,,,2019-06-07T00:00:00,2019-06-13T00:00:00
321,85.61243374552389,88.58536585365854,,,2019-06-14T00:00:00,2019-06-20T00:00:00
320,87.91819430186516,86.5211810012837,,,2019-06-21T00:00:00,2019-06-27T00:00:00
319,87.52967760330203,81.51016456921587,,,2019-06-28T00:00:00,2019-07-04T00:00:00
318,87.53932676280316,87.14923469387756,,,2019-07-05T00:00:00,2019-07-11T00:00:00
317,87.27454330398213,87.81031190324634,,,2019-07-12T00:00:00,2019-07-18T00:00:00
316,88.10444977636227,84.88259890640077,,,2019-07-19T00:00:00,2019-07-25T00:00:00
315,89.18034686226748,82.14760638297872,,,2019-07-26T00:00:00,2019-08-01T00:00:00
314,87.47671301508507,85.73889080261799,,,2019-08-02T00:00:00,2019-08-08T00:00:00
313,89.37193211225777,87.04912401236689,,,2019-08-09T00:00:00,2019-08-15T00:00:00
312,87.38204282220478,91.31479574322005,,,2019-08-16T00:00:00,2019-08-22T00:00:00
311,85.3337983549859,85.92233009708738,,,2019-08-23T00:00:00,2019-08-29T00:00:00
